Fill,col1,row1,col2,row2,img_name,img_w,img_h
100,234,736,227,507,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
91.07,256,731,251,510,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
82.14,279,726,277,512,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
73.21,298,723,297,514,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
64.28,318,717,320,516,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
55.35,339,712,339,516,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
46.42,356,710,358,520,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
37.5,376,520,373,707,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
28.57,387,701,389,522,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
19.64,405,697,405,524,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
10.71,418,694,416,526,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
0,432,527,432,690,1764893658203_Cam2_Timeout_0.00.jpg,1000,1000
